,categories,genres,id,is_free,playtime_forever,price,purchase_date,release_date,tags,total_negative_reviews,total_positive_reviews
20,"Single-player,Multi-player,Steam Achievements,Partial Controller Support,Steam Cloud",Racing,20,False,0.166666667,6800,2018-01-30,2010-11-26,"Racing,Offroad,Motocross,Multiplayer,Sports,Singleplayer,Open World,Motorbike,ATV,Action,Simulation,Bikes,Moddable,Arcade",248.0,1122.0
21,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","RPG,Strategy",21,False,1.6166666669999998,8800,2016-11-28,2014-09-18,"Strategy,4X,Turn-Based,Turn-Based Strategy,Fantasy,Hex Grid,Multiplayer,Singleplayer,Great Soundtrack,RPG,Sci-fi,Indie,Tactical,Adventure,Grand Strategy,Medieval,Atmospheric,Open World,Exploration,Sandbox",1780.0,8406.0
22,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie",22,False,0.0,8800,2018-05-16,2017-08-07,"Atmospheric,Psychological,Story Rich,Female Protagonist,Mythology,Singleplayer,Dark,Adventure,Third Person,Horror,Dark Fantasy,Action,Violent,Indie,Hack and Slash,Walking Simulator,Fantasy,Action-Adventure,Realistic,Blood",1847.0,20437.0
23,"Single-player,Full controller support","Casual,Indie",23,True,0.05,0,2017-11-19,2016-06-03,"Casual,Indie,VR,Free to Play",0.0,2.0
24,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud",Strategy,24,False,0.0,12900,2019-04-02,2017-05-18,"Strategy,Space,Sci-fi,4X,Multiplayer,Turn-Based Strategy,Turn-Based,Grand Strategy,Great Soundtrack,Singleplayer,Action,Open World,War,Atmospheric,Moddable,Co-op,Sandbox,RTS,RPG,Indie",1458.0,6812.0
25,Single-player,RPG,25,False,0.0,9900,2018-05-09,2010-01-28,"RPG,Sci-fi,Story Rich,Third-Person Shooter,Action,Space,Singleplayer,Great Soundtrack,Adventure,Choices Matter,Cinematic,Masterpiece,Third Person,Shooter,Romance,Character Customization,Female Protagonist,Atmospheric,Action RPG,Real-Time with Pause",517.0,9566.0
26,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Adventure,Indie,RPG,Simulation",26,False,0.21666666699999998,1500,2017-12-09,2016-08-11,"Choices Matter,Medieval,Card Game,Indie,Choose Your Own Adventure,Singleplayer,RPG,Adventure,Simulation,Strategy,Casual,Comedy,Dark Humor,Fantasy,Story Rich,Funny,2D,Great Soundtrack,Difficult,Touch-Friendly",597.0,5001.0
27,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Commentary available",Adventure,27,False,0.0,4800,2019-06-27,2015-01-26,"Adventure,Point & Click,Classic,Comedy,Story Rich,Noir,Cult Classic,Great Soundtrack,Singleplayer,Remake,Puzzle,Atmospheric,Retro,Funny,Masterpiece,Dark Humor,1990's,Third Person,Indie,Difficult",372.0,3457.0
28,"Single-player,Multi-player,Steam Trading Cards","Indie,Simulation,Strategy",28,False,0.0,4800,2018-12-21,2009-11-16,"Strategy,Simulation,Indie,Sci-fi,Space,2D,Sandbox,Building,Singleplayer,Moddable,Multiplayer",73.0,329.0
29,"Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Action,Indie",29,False,4.216666667,6800,2017-10-02,2017-09-29,"Difficult,Cartoon,Great Soundtrack,Platformer,Co-op,Hand-drawn,2D,Local Co-Op,Retro,Indie,Cartoony,Action,Bullet Hell,Multiplayer,Shoot 'Em Up,Side Scroller,Colorful,Singleplayer,Funny,Atmospheric",1542.0,36322.0
30,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","Adventure,RPG,Strategy",30,False,4.266666667,6800,2017-12-10,2017-04-11,"RPG,Story Rich,Classic,Party-Based RPG,Dark Fantasy,Isometric,CRPG,Adventure,Choices Matter,Fantasy,Atmospheric,Singleplayer,Great Soundtrack,Strategy,Masterpiece,Dungeons & Dragons,Tactical RPG,Philisophical,Cult Classic,Real-Time with Pause",73.0,1270.0
31,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie,RPG",31,False,4.333333333,7000,2018-03-18,2019-07-12,"Rogue-lite,Pixel Graphics,Rogue-like,RPG,Multiplayer,Action,Indie,Co-op,Funny,Early Access,Adventure,Stealth,Local Co-Op,Great Soundtrack,2D,Procedural Generation,Online Co-Op,Violent,Gore,Shooter",212.0,4640.0
32,"Single-player,Online Multi-Player","Casual,Simulation,Sports",32,False,2.1,7000,2018-02-28,2016-09-22,"Sports,Tennis,Simulation,Casual,VR",64.0,1107.0
33,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation",33,False,0.916666667,4300,2018-07-02,2019-01-17,"Programming,Simulation,Education,Puzzle,Building,Sandbox,Science,Indie,Investigation,Underground,Dynamic Narration,Transhumanism,Intentionally Awkward Controls,Cats",179.0,1887.0
34,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Strategy",34,False,0.0,4000,2018-10-23,2018-10-23,"Indie,Simulation,Choices Matter,Multiple Endings,Strategy,Pixel Graphics,Nudity,2D,Singleplayer,Funny,Sexual Content,Story Rich,Dystopian,Horror,Puzzle,Mature,Dark Humor,Atmospheric,Resource Management",153.0,1663.0
35,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure",35,False,2.85,9500,2017-03-17,2012-06-28,"Story Rich,Third-Person Shooter,Action,Atmospheric,Psychological,Singleplayer,Third Person,War,Shooter,Dark,Multiplayer,Adventure,Emotional,Political,Military,Mature,Great Soundtrack,Masterpiece,Based On A Novel,Post-apocalyptic",1218.0,17071.0
36,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop","Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy",36,False,56.66666667,12900,2017-12-08,2018-05-08,"Survival,Open World,Building,Crafting,Nudity,Multiplayer,Sandbox,RPG,Massively Multiplayer,Action,Violent,Adventure,Exploration,Online Co-Op,Gore,PvP,Co-op,Singleplayer,Fantasy,Early Access",7748.0,18644.0
37,"Single-player,Steam Achievements,Steam Workshop",Simulation,37,False,0.0,10000,2019-06-27,2016-11-08,"Simulation,Management,Economy,Trains,Strategy,Building,Singleplayer,Sandbox,City Builder,Open World,Moddable,Realistic,Resource Management,Transportation,Driving,Indie,Flight,Relaxing,Adventure,Multiplayer",1223.0,4328.0
38,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure,Indie,RPG",38,False,4.516666667,4800,2017-11-28,2017-08-17,"Horror,Survival,Survival Horror,Atmospheric,Top-Down,Dark,Indie,RPG,Open World,Adventure,Lovecraftian,Exploration,Singleplayer,Action,Crafting,Rogue-like,Inventory Management,Building,Gore,Psychological Horror",253.0,4109.0
39,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,Casual,Indie",39,False,3.083333333,4800,2016-11-22,2014-05-15,"Comedy,Co-op,Funny,Platformer,Multiplayer,Local Co-Op,Adventure,Indie,2D,Action,Great Soundtrack,Cats,Online Co-Op,Puzzle,Casual,Level Editor,Local Multiplayer,Masterpiece,Singleplayer,Difficult",1063.0,36408.0
40,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Adventure,40,False,0.0,6800,2018-11-22,2016-04-18,"Anime,Detective,Visual Novel,Mystery,Story Rich,Great Soundtrack,Singleplayer,Psychological Horror,Adventure,Dark Comedy,Horror,Atmospheric,Puzzle,Memes,Dark,Comedy,Dating Sim,Funny,Mature,Walking Simulator",182.0,5163.0
41,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie",41,False,1.7,7000,2019-06-27,2019-04-05,"Adventure,Puzzle,Exploration,First-Person,Metroidvania,Puzzle-Platformer,Indie,Action,Singleplayer,Open World,Cute,Sandbox,Colorful,FPS,3D Platformer,Funny,Multiplayer,Co-op",82.0,2268.0
42,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,RPG",42,False,11.51666667,9000,2018-03-29,2018-02-13,"Medieval,RPG,Open World,Realistic,Singleplayer,Historical,First-Person,Story Rich,Adventure,Swordplay,Choose Your Own Adventure,Choices Matter,Action,Atmospheric,Nudity,Horses,Great Soundtrack,Kickstarter,Indie,Crowdfunded",7766.0,24505.0
43,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Sexual Content,Violent,Adventure,Indie,Strategy",43,False,6.5,4900,2016-11-28,2016-08-02,"Strategy,Management,Story Rich,Crime,Choices Matter,Singleplayer,Indie,Simulation,Noir,Atmospheric,Adventure,Detective,Mature,Great Soundtrack,Political,Sexual Content,Violent,Visual Novel,Kickstarter,Nudity",925.0,4760.0
44,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure",44,False,0.8833333329999999,5000,2018-10-28,2012-02-16,"Action,Horror,Third Person,Adventure,Story Rich,Thriller,Atmospheric,Singleplayer,Psychological Horror,Great Soundtrack,Mystery,Episodic,Dark,Third-Person Shooter,Supernatural,Masterpiece,Cinematic,Narration,Survival Horror,Shooter",1662.0,16607.0
45,"Single-player,Steam Achievements","Adventure,Indie",45,False,0.46666666700000003,3500,2018-03-21,2017-10-31,"Adventure,Indie,World War II,Historical,Story Rich,Education,Atmospheric,Realistic,Dark,Drama,Multiple Endings,Hidden Object",6.0,74.0
46,"Single-player,Co-op,In-App Purchases,Partial Controller Support","Action,Adventure",46,False,0.0,24800,2019-03-24,2016-11-28,"Illuminati,Hacking,Open World,Action,Parkour,Stealth,Multiplayer,Third Person,Shooter,Crime,Singleplayer,Third-Person Shooter,Adventure,Co-op,Sexual Content,Comedy,Mature,Atmospheric,Cute,Gore",5941.0,22742.0
47,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Action,Adventure,RPG",47,False,0.0,11000,2017-10-28,2014-06-03,"Detective,Adventure,Horror,Mystery,Supernatural,Atmospheric,Action,Singleplayer,Crime,Story Rich,Third Person,Noir,Masterpiece,Puzzle,Open World,RPG,Stealth,Walking Simulator,Dark,Point & Click",954.0,5396.0
48,Single-player,"Action,Adventure",48,False,0.0,3400,2018-02-16,2008-11-21,"Adventure,Action,Female Protagonist,Third Person,Lara Croft,Puzzle,Singleplayer,Platformer,Action-Adventure,Shooter,Exploration,Third-Person Shooter,Parkour,Atmospheric,Underwater,3D Vision,Masterpiece,Classic,3D Platformer,Open World",566.0,1685.0
49,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,VR Support,Partial Controller Support","Casual,Free to Play,Massively Multiplayer,Simulation",49,True,0.4,0,2017-11-16,2016-03-31,"Free to Play,VR,Casual,Simulation,Massively Multiplayer,Multiplayer,Choose Your Own Adventure,Online Co-Op,Experimental,Comedy,Card Game,Sports,Board Game",4.0,14.0
50,"Single-player,Partial Controller Support","Action,Early Access",50,False,0.316666667,2100,2017-09-21,2016-09-05,"Early Access,FPS,Shooter,Singleplayer,eSports,Early Access,Action,Fast-Paced,Score Attack,Competitive,Difficult,Simulation,First-Person,Casual,Multiplayer",498.0,2848.0
51,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Includes level editor","Adventure,Indie,RPG,Strategy",51,False,0.0,11200,2017-06-28,2014-06-30,"RPG,Turn-Based,Co-op,Fantasy,Adventure,Masterpiece,Strategy,Open World,Isometric,CRPG,Story Rich,Kickstarter,Indie,Multiplayer,Singleplayer,Turn-Based Strategy,Magic,Online Co-Op,Crowdfunded,Atmospheric",718.0,7052.0
52,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards,Includes level editor","Action,Indie",52,False,0.0,6800,2018-04-16,2014-11-03,"Action,Multiplayer,Underwater,Gore,Team-Based,Horror,Survival,PvP,Co-op,FPS,Shooter,Hunting,Survival Horror,First-Person,Atmospheric,Exploration,Simulation,Adventure,Indie,Singleplayer",2102.0,16482.0
53,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie",53,False,1.983333333,6000,2017-12-14,2017-12-14,"Puzzle,Indie,Hand-drawn,Adventure,Casual,Atmospheric,Singleplayer,Stylized,Short,2D,Story Rich,Mystery,Exploration,Interactive Fiction,Cartoony,Great Soundtrack,Point & Click",139.0,4850.0
54,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure",54,False,14.55,16000,2017-09-29,2016-02-09,"Adventure,Action,Lara Croft,Female Protagonist,Third Person,Singleplayer,Exploration,Action-Adventure,Open World,Survival,Story Rich,Puzzle,Atmospheric,Stealth,Third-Person Shooter,Parkour,Shooter,RPG,Great Soundtrack,Quick-Time Events",3113.0,39351.0
55,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Action,RPG,Simulation",55,False,0.2,10000,2017-10-05,2014-09-26,"Space,Simulation,RPG,Open World,Sci-fi,Space Sim,Singleplayer,Action,Sandbox,Adventure,Moddable,Strategy,Early Access,Survival,Difficult,Relaxing,Indie,4X,Exploration,Co-op",834.0,1949.0
56,Single-player,"Adventure,RPG",56,False,3.933333333,6900,2017-10-28,2007-01-12,"Adventure,Female Protagonist,Story Rich,Fantasy,Sci-fi,Singleplayer,Third Person,RPG,Beautiful,Futuristic,Great Soundtrack,Atmospheric,Masterpiece,Nudity,Cyberpunk",92.0,543.0
57,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure,RPG,Simulation,Strategy",57,False,0.0,4800,2018-04-08,2013-10-17,"Space,Masterpiece,RPG,Strategy,Adventure,Classic,Open World,Sci-fi,Simulation,Turn-Based,Atmospheric,Action,Comedy,Sandbox,Replay Value,Singleplayer,RTS,Arcade,2D,Procedural Generation",169.0,2805.0
58,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure,RPG",58,False,3.2833333330000003,19200,2018-11-22,2016-01-15,"RPG,Open World,Character Customization,Fantasy,Action,Adventure,Singleplayer,Action RPG,Dragons,Dark Fantasy,Third Person,Magic,Exploration,Great Soundtrack,Atmospheric,Story Rich,Difficult,JRPG,Multiplayer,Hack and Slash",1386.0,10311.0
59,Single-player,Strategy,59,False,0.0,9900,2019-02-10,2009-01-08,"Strategy,RTS,Base Building,Multiplayer,Co-op,Alternate History,Sci-fi,Real-Time,Co-op Campaign,Singleplayer,War,Online Co-Op,Action,Comedy,Classic,Great Soundtrack,Masterpiece,FMV,Atmospheric,Nudity",820.0,4204.0
60,"Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Full controller support,SteamVR Collectibles,Includes level editor","Action,Adventure,Casual,Free to Play,Massively Multiplayer,Sports,Early Access",60,True,0.36666666700000006,0,2017-11-19,2016-06-28,"Early Access,VR,Free to Play,Multiplayer,Sports,Early Access,Online Co-Op,Massively Multiplayer,Co-op,Funny,Casual,Action,Adventure,First-Person,Simulation,FPS,Shooter,Family Friendly,Sexual Content,Singleplayer",1.0,116.0
61,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Indie,RPG,Strategy",61,False,0.8666666670000001,1100,2018-03-13,2016-10-11,"Indie,Action,Strategy,RPG,Card Game,Lovecraftian,Trading Card Game,Short,Real-Time,Rogue-lite,Rogue-like",33.0,53.0
62,"Single-player,Steam Achievements,Full controller support,Steam Cloud",Action,62,False,0.0,11200,2017-12-21,2014-10-06,"Horror,Survival Horror,Sci-fi,Atmospheric,Aliens,Stealth,First-Person,Space,Survival,Female Protagonist,Singleplayer,Action,Difficult,Adventure,Great Soundtrack,FPS,Psychological Horror,Masterpiece,Gore,Shooter",1430.0,16682.0
63,"Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Captions available,VR Support,Partial Controller Support,Valve Anti-Cheat enabled,Includes level editor,Includes Source SDK","Action,Free to Play,Indie",63,True,0.0,0,2015-08-03,2013-10-31,"Free to Play,Zombies,Multiplayer,Survival,Horror,Co-op,Online Co-Op,Action,FPS,First-Person,Survival Horror,Shooter,Post-apocalyptic,Open World,Realistic,Indie,Atmospheric,Mod,Adventure,Massively Multiplayer",129.0,696.0
64,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure",64,False,0.0,3600,2018-02-16,2010-09-28,"Action,Adventure,Co-op,Lara Croft,Local Co-Op,Puzzle,Female Protagonist,Platformer,Online Co-Op,Puzzle-Platformer,Singleplayer,Multiplayer,Third Person,Twin Stick Shooter,Isometric,Local Multiplayer,Exploration,Arcade,Controller,Difficult",161.0,1895.0
65,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Casual,Free to Play,Strategy,Early Access",65,True,0.0,0,2019-06-20,2019-06-20,"Early Access,Free to Play,Multiplayer,Strategy,Early Access,Tactical,Turn-Based Tactics,Turn-Based,Chess,Casual,Mature,Competitive,Fantasy,Singleplayer,Automation,Board Game,Action,Battle Royale",0.0,0.0
66,"Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie",66,False,0.0,5000,2017-10-28,2013-04-30,"Action,Indie,Surreal,Beat 'em up,Fighting,First-Person,Adventure,Co-op,Open World,Singleplayer,FPS,Atmospheric,Online Co-Op,Sci-fi,Fantasy",93.0,388.0
67,"Single-player,Co-op,Local Co-op,VR Support","Adventure,Indie,Simulation",67,True,0.566666667,0,2017-11-19,2016-05-31,"VR,Adventure,Simulation,Indie,Free to Play,Magic,Horror,Singleplayer",0.0,31.0
68,Single-player,"Indie,Simulation",68,False,1.6333333330000002,5800,2018-09-16,2019-07-30,"Base Building,Survival,Resource Management,Building,Singleplayer,2D,Management,Simulation,Sandbox,Strategy,Space,Early Access,Indie,Sci-fi,Exploration,Open World,Difficult,Adventure,Space Sim,Multiplayer",1450.0,20873.0
69,"Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie",69,False,1.1,4800,2017-06-28,2015-04-16,"Western,Pixel Graphics,Open World,Indie,Adventure,Action,Detective,Local Co-Op,Retro,Great Soundtrack,Singleplayer,2D,RPG",82.0,927.0
70,"Single-player,Partial Controller Support","Adventure,Indie",70,False,0.0,2600,2018-06-21,2017-04-26,"Exploration,Walking Simulator,Horror,Adventure,Atmospheric,Indie,VR,First-Person,Singleplayer,Short",99.0,827.0
71,"Single-player,Steam Trading Cards,Steam Workshop,Includes level editor","Action,Indie,RPG,Simulation,Strategy",71,False,0.46666666700000003,9000,2019-02-27,2018-12-06,"Open World,Sandbox,RPG,Survival,Strategy,Building,Crafting,Post-apocalyptic,City Builder,Singleplayer,Indie,Base Building,Simulation,Management,Adventure,RTS,Ninja,Early Access,Steampunk,Alternate History",1460.0,12603.0
72,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Indie,Strategy",72,False,1.1,3600,2018-04-23,2016-11-09,"Indie,Dystopian,Choices Matter,Strategy,Atmospheric,Singleplayer,Story Rich,Simulation,Adventure,Dark,Multiple Endings,2D,RPG,Political,Great Soundtrack,Violent,Stealth,Point & Click,Difficult,Horror",971.0,9347.0
